CID,Type,Impact,First Detected,Owner,Classification,Severity,Action,Component,Category
448838,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448837,Weak hash algorithm,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448836,Bad use of null-like value,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences
448835,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448834,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448833,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448832,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448831,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448830,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448829,Logically dead code,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues
448828,Unsafe output of data into innerHtml,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448827,Unsafe evaluation function,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448826,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448825,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448824,JSON Web Token decoded without signature verification,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448823,Unspecified software version,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448822,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448821,JSON Web Token decoded without signature verification,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448820,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448819,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448818,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448817,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448816,Property access or function call before check for null or undefined,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences
448815,Container allows filesystem write,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
